tid,lat,lon,timestamp
126,40.8331652006224,-73.9418603427692,2025-06-30 05:00:00
126,40.8340978041072,-73.94526722258809,2025-06-30 23:00:00
126,40.8331652006224,-73.9418603427692,2025-07-01 00:00:00
126,40.7646959283254,-73.8851974964414,2025-07-03 17:00:00
126,40.7660790376824,-73.88352870941159,2025-07-03 18:00:00
126,40.7300987360962,-73.86145271602659,2025-07-03 21:00:00
126,40.7497034836652,-73.9878129959106,2025-07-03 22:00:00
126,40.6900872257332,-73.9817776229191,2025-07-03 22:00:00
126,40.8331652006224,-73.9418603427692,2025-07-04 01:00:00
126,40.711634904081286,-74.01029350146509,2025-07-04 16:00:00
126,40.9123450467868,-73.90275478363041,2025-07-04 21:00:00
126,40.7463791194241,-73.9818906784058,2025-07-04 22:00:00
126,40.6904333657826,-73.9852809906006,2025-07-04 23:00:00
126,40.7994853414517,-73.9683072897888,2025-07-05 00:00:00
126,40.794675785524895,-73.9717626571655,2025-07-05 01:00:00
126,40.8331652006224,-73.9418603427692,2025-07-05 02:00:00
126,40.757164476937795,-73.9144165607695,2025-07-05 14:00:00
126,40.7491426612534,-73.93783807754521,2025-07-05 17:00:00
127,40.8340978041072,-73.94526722258809,2025-06-30 13:00:00
127,40.567196,-73.882576,2025-06-30 19:00:00
127,40.68991271945739,-73.9815044403076,2025-06-30 23:00:00
127,40.7085883614824,-73.9910316467285,2025-06-30 23:00:00
127,40.8331652006224,-73.9418603427692,2025-07-01 14:00:00
127,40.7085883614824,-73.9910316467285,2025-07-01 17:00:00
127,40.7590904609109,-73.83005619049071,2025-07-01 18:00:00
127,40.759478666551104,-73.8300985117754,2025-07-01 21:00:00
127,40.68991271945739,-73.9815044403076,2025-07-01 23:00:00
127,40.848758995215995,-73.9382779598236,2025-07-03 00:00:00
127,40.84884583332301,-73.9384174346924,2025-07-03 00:00:00
127,40.88214078989179,-74.0422647901029,2025-07-03 01:00:00
127,40.914177997590706,-74.17763521463101,2025-07-03 01:00:00
127,40.7572212983984,-73.9915466308594,2025-07-03 03:00:00
127,40.7617816261867,-73.9850546682068,2025-07-03 03:00:00
127,40.815540684618,-73.9584234721819,2025-07-03 03:00:00
127,40.8331652006224,-73.9418603427692,2025-07-04 18:00:00
127,40.8341815824087,-73.945187330246,2025-07-04 22:00:00
127,40.8346576535679,-73.9451868588011,2025-07-05 23:00:00
127,40.8331652006224,-73.9418603427692,2025-07-06 20:00:00
127,40.8341610206876,-73.94503761167971,2025-07-06 21:00:00
127,40.8331652006224,-73.9418603427692,2025-07-06 23:00:00
128,40.660473835167,-73.83029108918642,2025-06-30 17:00:00
128,40.6086420833785,-73.8190376758575,2025-06-30 19:00:00
128,40.73405557647629,-73.8708472251892,2025-06-30 20:00:00
128,40.733372474683705,-73.8711404741537,2025-06-30 20:00:00
128,40.7631337910326,-73.8752118314646,2025-06-30 21:00:00
128,40.7572212983984,-73.9915466308594,2025-07-03 02:00:00
128,40.7564898726738,-73.9862680435181,2025-07-03 02:00:00
128,40.815540684618,-73.9584234721819,2025-07-03 02:00:00
128,40.8331652006224,-73.9418603427692,2025-07-05 14:00:00
128,40.831282826478294,-73.941392502021,2025-07-05 15:00:00
128,40.6900872257332,-73.9817776229191,2025-07-05 17:00:00
128,40.8278390825735,-73.92576813697809,2025-07-05 18:00:00
128,40.8331652006224,-73.9418603427692,2025-07-06 00:00:00
128,40.7085883614824,-73.9910316467285,2025-07-06 12:00:00
128,40.6914746462291,-73.9873838424683,2025-07-06 13:00:00
128,40.7306323510853,-73.9996371281808,2025-07-06 14:00:00
128,40.8002312249141,-73.8288116455078,2025-07-06 20:00:00
128,40.86046649134129,-73.92554283142091,2025-07-06 21:00:00
129,40.821344149632296,-73.9540386199951,2025-06-30 12:00:00
129,40.6900872257332,-73.9817776229191,2025-06-30 13:00:00
129,40.6897825572405,-73.9810752868652,2025-06-30 14:00:00
129,40.6889893757358,-73.98129925131799,2025-06-30 16:00:00
129,40.662169710863296,-73.86484090153671,2025-06-30 17:00:00
129,40.6963140173316,-73.9906616720344,2025-07-01 21:00:00
129,40.68875409408809,-73.9806412614152,2025-07-01 22:00:00
129,40.7085883614824,-73.9910316467285,2025-07-02 16:00:00
129,40.7710592625284,-73.9176545604588,2025-07-02 17:00:00
129,40.7660790376824,-73.88352870941159,2025-07-02 18:00:00
129,40.803291864361896,-73.9328276594543,2025-07-02 21:00:00
129,40.6904333657826,-73.9852809906006,2025-07-02 22:00:00
129,40.6900872257332,-73.9817776229191,2025-07-03 16:00:00
129,40.68991271945739,-73.9815044403076,2025-07-03 19:00:00
129,40.6963140173316,-73.9906616720344,2025-07-03 21:00:00
